['7', '18', '19', '26', '33', '45']
['10', '17', '22', '30', '35', '43']
['6', '7', '15', '22', '26', '40']
['8', '14', '28', '29', '34', '40']
['1', '12', '16', '19', '23', '43']
['14', '33', '34', '35', '37', '40']
['12', '16', '21', '24', '41', '43']
['3', '20', '28', '38', '40', '43']
['17', '26', '29', '30', '31', '43']
['6', '7', '13', '28', '36', '42']
['13', '14', '22', '26', '37', '38']
['10', '12', '29', '31', '40', '44']
['1', '7', '21', '30', '35', '38']
['6', '16', '34', '37', '39', '40']
['1', '3', '4', '29', '42', '45']
['6', '14', '30', '31', '40', '41']
['7', '19', '26', '37', '39', '44']
['10', '12', '13', '19', '33', '40']
['3', '7', '11', '20', '22', '41']
['3', '13', '30', '33', '43', '45']
['16', '20', '26', '36', '42', '44']
['11', '13', '20', '21', '32', '44']
['10', '16', '19', '32', '33', '38']
['7', '12', '23', '32', '34', '36']
['15', '16', '17', '25', '30', '31'] 
['3', '4', '9', '30', '33', '36']
['11', '13', '14', '15', '16', '45']
['1', '9', '12', '13', '20', '45']
['2', '19', '26', '31', '38', '41']
['6', '24', '31', '32', '38', '44']
['3', '16', '21', '30', '34', '35']
['13', '19', '21', '24', '34', '35']
['3', '8', '17', '30', '33', '34']
['6', '14', '25', '33', '40', '44']
['4', '5', '9', '11', '37', '40']
['10', '15', '24', '30', '31', '37']
['1', '5', '8', '16', '28', '33']
['5', '10', '11', '17', '28', '34']
['15', '19', '21', '25', '27', '28']
['1', '2', '6', '14', '27', '38']
['6', '7', '19', '28', '34', '41']
['13', '14', '20', '28', '29', '34']
['3', '7', '9', '13', '19', '24']
['1', '6', '13', '19', '21', '33']
['21', '33', '35', '38', '42', '44']
['4', '9', '12', '15', '33', '45']
['14', '16', '19', '20', '29', '34']
['5', '12', '15', '30', '37', '40']
['7', '10', '22', '29', '31', '38']
['7', '11', '12', '21', '26', '35']
['2', '8', '28', '30', '37', '41']
['10', '16', '17', '27', '28', '36']
['3', '4', '12', '15', '26', '34']
['2', '11', '31', '33', '37', '44']
['6', '11', '17', '19', '40', '43']
['7', '11', '24', '26', '27', '37']
['3', '6', '13', '15', '16', '22']
['8', '15', '19', '21', '32', '36']
['8', '9', '18', '35', '39', '45'] #1150
['2', '3', '9', '15', '27', '29']
['30', '31', '32', '35', '36', '37']
['1', '9', '10', '13', '35', '44']
['4', '8', '22', '26', '32', '38']
['10', '16', '19', '27', '37', '38']
['30', '31', '34', '39', '41', '45']
['5', '7', '12', '20', '25', '26']
['21', '25', '27', '32', '37', '38']
['3', '9', '27', '28', '38', '39']
['7', '13', '18', '36', '39', '45']
['2', '12', '20', '24', '34', '42']
['20', '21', '22', '25', '28', '29']
['2', '13', '15', '16', '33', '43']
['17', '18', '23', '25', '38', '39']
['6', '7', '27', '29', '38', '45']
['14', '23', '25', '27', '29', '42']
['8', '23', '31', '35', '39', '40']
['9', '21', '24', '30', '33', '37']
['5', '12', '24', '26', '39', '42']
['3', '13', '28', '34', '38', '42']
['3', '6', '7', '11', '12', '17']
['7', '9', '24', '40', '42', '44']
['1', '5', '18', '20', '30', '35']
['8', '11', '14', '17', '36', '39']
['3', '4', '6', '8', '32', '42']
['7', '9', '11', '21', '30', '35']
['3', '7', '15', '16', '19', '43']
['5', '6', '11', '27', '43', '44']
['3', '16', '18', '24', '40', '44']
['6', '12', '18', '37', '40', '41']
['8', '10', '14', '20', '33', '41']
['1', '13', '21', '25', '28', '31']
['4', '15', '17', '23', '27', '36']
['14', '16', '23', '25', '31', '37']
['6', '17', '22', '28', '29', '32']
['2', '8', '13', '16', '23', '28']
['5', '13', '26', '29', '37', '40']
['3', '4', '12', '19', '22', '27']
['9', '19', '29', '35', '37', '38']
['7', '9', '19', '23', '26', '45']
['1', '4', '11', '12', '20', '41']
['10', '16', '23', '36', '39', '40']
['6', '9', '16', '19', '24', '28']
['3', '13', '15', '24', '33', '37']
['3', '15', '27', '33', '34', '36']
['8', '12', '15', '29', '40', '45']
['1', '5', '7', '26', '28', '43']
['26', '30', '33', '38', '39', '41']
['16', '24', '25', '30', '31', '32']
['1', '2', '4', '16', '20', '32']
['7', '9', '24', '27', '35', '36']
['5', '12', '21', '33', '37', '40']
['3', '6', '18', '29', '35', '39']
['8', '16', '28', '30', '31', '44']
['1', '4', '16', '23', '31', '41']
